ids,artists,mediums,titles,descriptions,urls
ger_11,Sigmar Polke,Resin and acrylic paint on various fabrics,Watchtower with Geese (Hochsitz mit Gänsen),"Sigmar Polke was born in Silesia (present-day Poland), which became part of East Germany after World War II. He moved to West Germany in the 1960s, becoming one of a number of German artists who sought to confront the collective trauma that characterized the history of their nation in the 20th century. The watchtower referred to in the title may indicate a type of elevated seat frequently used in the German countryside as a lookout when hunting fowl, a reference underscored by a gaggle of geese in the painting’s right-hand corner. The designs on the black fabric evoke the pleasures of leisure time at a beach and provide an association with another kind of raised chair, that of a lifeguard. But, more ominously, the watchtower is also related to guard towers, prisons, concentration camps, and walled countries.",https://www.artic.edu/artworks/76054/watchtower-with-geese-hochsitz-mit-gansen
ger_12,Albrecht Dürer,Pen and black ink on ivory laid paper,Young Bull,"From an early age, Albrecht Dürer displayed an inquisitive mind and exceptional talent as a draftsman. He was born in Nuremberg and first trained as a goldsmith in his father’s shop before apprenticing with the painter Michael Wolgemut. One of his earliest animal drawings, Young Steer shows its subject grazing in an unseen field. The artist’s sure strokes and adept cross-hatching delineate the steer’s sculptural form, with taut skin stretched over a strong yet bony frame. Dürer’s precise draftsmanship recalls the drawings and prints of the celebrated German master Martin Schongauer, whom he greatly admired. This work was probably a study from nature; sketchy lines around the animal’s right hind foot, back, muzzle, and horns reveal that the artist originally drew the steer in a slightly different position, with his mouth open. A masterful engraver who would elevate printmaking to an expressive art form over the course of his career, Dürer employed the steer’s hindquarters for the barnyard scene in his engraving The Prodigal Son amid the Swine (1494/96), an impression of which is in the Art Institute.",https://www.artic.edu/artworks/23506/young-bull
ger_13,Georg Baselitz,Charcoal and synthetic resin on linen,Woodman (Waldarbeiter),"During the early 1960s, Georg Baselitz began producing representational images—characterized by thickly painted surfaces and often emotional and/or tragic themes—that drew inspiration from Germany’s artistic and cultural heritage. Between 1967 and 1969, Baselitz executed a series of Fracture Paintings, in which he segmented his subjects—animals, shepherds, and woodsmen—into horizontal bands or irregular fragments. Strung up sideways against a massive tree trunk, this woodsman heralded the artist’s trademark inverted figures, which first appeared soon after this painting’s completion. Conjuring a world gone mad, Woodman evokes the psychic and physical disorientation Germans experienced after their war-torn nation was partitioned in 1946. Indeed, Baselitz created this work after he left a divided Berlin to reside in a small German village.",https://www.artic.edu/artworks/68823/woodman-waldarbeiter
ger_14,Ernst Ludwig Kirchner,Color woodcut with charcoal on cream wove paper,Portrait of Otto Mueller,"Ernst Ludwig Kirchner’s Portrait of Otto Mueller—with its vibrant, modulated color and penetrating psychological force—is emblematic of the artist’s innovative approach to technique and imagery. A pivotal figure of the German Expressionist movement, Kirchner first met Mueller, also a painter-printmaker, in 1910. Mueller then joined Die Brücke (The Bridge), the group Kirchner had helped found in 1905, which was instrumental in promoting Expressionism. The period between 1915 and 1919 marked Kirchner’s most concentrated and productive phase of work with portrait prints, which he made primarily as large-format woodcuts. In this depiction of Mueller, Kirchner used a spare, planar composition and broad areas of undifferentiated color to depict his subject’s sharp features. He painted on a single block with a brush and varying colors; thus, each print is unique. The cobalt-blue striated forms that emanate from the figure’s right and from the side of his head in this print are abstract representations of the painted bands that decorated Kirchner’s studio wall, against which Mueller posed. These bands, which Kirchner painted himself, exemplify his adoption of motifs and styles from Palauan art of the South Pacific and resonate with Mueller’s own fondness for African-inspired furniture and wall paintings. Indeed, his hieratic, frontal position may suggest his interest in Egyptian art.",https://www.artic.edu/artworks/72726/portrait-of-otto-mueller
ger_15,Lovis Corinth,"Gouache, with possible additions in oil, on heavy ivory wove paper",Self-Portrait,"“The times are not the same for us old folk anymore,” reads a 1923 diary entry by Lovis Corinth, who suffered a stroke in 1911 and never quite recovered. “We have lost our way … so sad, so very sad.” The following year, the artist created this tortured self-image; he was sixty-five, with one year left to live. An inveterate self-portraitist, Corinth produced more images of himself than almost any other artist except Rembrandt van Rijn. In this haunting gouache, he gazes at the viewer in anguish. The brooding palette portrays a deeply shadowed face— contorted, haggard, and sunk into hunched shoulders. The pain that both the diary entry and this portrait convey is curiously at odds with Corinth’s professional life, which had, in fact, been successful. Challenging traditional approaches to art, his early figure compositions, with their overt sexuality and theatrical movements, made his reputation. Later he executed intensely colored, windswept landscapes that became his most popular works. But Corinth was a deeply patriotic man, and his personal accomplishments failed to assuage the torment he experienced after Germany’s humiliation in World War I and his despair over the values of the Weimar Republic that followed.",https://www.artic.edu/artworks/70202/self-portrait
ger_16,Master of the Housebook,Drypoint in black on ivory laid paper,The Road to Calvary,"This dramatic depiction of Christ’s suffering on his way to the Crucifixion is one of the first examples of drypoint by the anonymous master who invented this method of engraving. In drypoint the image is drawn directly on a metal plate with a sharp instrument, a process that preserves the artist’s personal “handwriting” and imparts to the print a characteristically velvety line. Here the printmaker skillfully exploited the soft, atmospheric effects, silvery shadows, and sense of delicate, luminous distances that are attainable in drypoint. The forest of lances that juts up behind the hills in the background also creates the illusion of depth. The central motif is Christ’s ordeal at the hands of three soldiers who force him and Simon of Cyrene, an innocent bystander, onward to the Mount of Calvary. On the left, the grieving figure of Mary, supported by the apostle John, is strikingly juxtaposed with the utterly indifferent soldier on the right, who has turned his back on the whole scene. This impression of The Road to Calvary is one of only three versions of this print. The Rijksprenten kabinet in Amsterdam owns eighty of the approximately ninety surviving prints by his hand.",https://www.artic.edu/artworks/110881/the-road-to-calvary
ger_17,Henry van de Velde (Designer),Silvered brass and teak,Samovar,"The Belgian architect and designer Henry van de Velde was one of the primary exponents of Art Nouveau, an international design style informed by the English Arts and Crafts Movement that was born in the 1880s and flourished at the turn of the twentieth century. This samovar, or Russian teakettle, beautifully illustrates the adroit mixture of taut lines and curvilinear motifs that characterizes Van de Velde’s mature Art Nouveau style. The sinuous organic lines of its base twist and snake around upright brackets and pick up again in the braided band motif of the teak handle. The kettle itself is simple in form, unornamented, and, with a prominent hinge on the spout cover, appears to be more engineered than crafted. This example was made from silvered brass and teak in accord with Van de Velde’s philosophy that art should be accessible and affordable to a broad public (though other examples were made of more costly silver). The kettle was designed at the Weimar School of Applied Arts, where Van de Velde became director in 1904. That school later became the Bauhaus, the bastion of modern design.",https://www.artic.edu/artworks/111400/samovar
ger_18,Thomas Schütte,Terra-cotta and porcelain,Urns (Set of 8),"Avoiding any signature style, Thomas Schütte has produced an oeuvre of perplexing diversity, including architectural models, photographs, sculpture, and watercolor drawings. His decidedly unimposing, antiheroic works explore the cultural, economic, historical, and social conditions of his native Germany with a detached, often humorous, sensibility. Much of Schütte’s work addresses the almost existential difficulty postwar German artists encounter in attempting to create monuments and memorials. As such, it evidences an ongoing preoccupation with themes of death, mourning, and collective memory. This is true of Urns, an installation comprising eight ceramic vessels glazed in a palette of solid colors marked by streaks, drips, and other surface effects. Ranging from three to five feet in height, these fragile containers at once imply living bodies and oversize repositories for their ashes. The vessels are intended to be grouped together, like a family. Displayed closed, these mysterious containers prompt speculation about what might be contained inside. One of the urns, however, lacks a top and bottom; viewing the installation from above reveals that it is empty.",https://www.artic.edu/artworks/182728/urns-set-of-8
ger_19,Heinrich Aldegrever,Engraving in black on ivory laid paper,"Susanna Surprised by the Elders, from The Story of Susanna",,https://www.artic.edu/artworks/50/susanna-surprised-by-the-elders-from-the-story-of-susanna
ger_20,Albrecht Altdorfer,Woodcut in black on cream laid paper,"Altarpiece with the Beautiful Virgin of Regensburg and Saints Christopher, Mary Magdalen, Florian and Catherine Standing in Niches, with God the Father Above",,https://www.artic.edu/artworks/8390/altarpiece-with-the-beautiful-virgin-of-regensburg-and-saints-christopher-mary-magdalen-florian-and-catherine-standing-in-niches-with-god-the-father-above
ger_21,Max Slevogt,Lithograph on ivory wove paper,Panther Springing out of a Tree,,https://www.artic.edu/artworks/18654/panther-springing-out-of-a-tree
ger_22,Paul Kleinschmidt,"Watercolor, over graphite, on cream wove paper",Head of a Woman with a Blue Necklace,,https://www.artic.edu/artworks/18576/head-of-a-woman-with-a-blue-necklace
ger_23,Georg Kolbe,Pen and brown ink and brush and brown wash on cream wove paper,Female Nude Bending Toward the Left,,https://www.artic.edu/artworks/9599/female-nude-bending-toward-the-left
ger_24,Vasily Kandinsky,Oil on canvas,Landscape with Two Poplars,,https://www.artic.edu/artworks/8980/landscape-with-two-poplars
ger_25,Adolphe Schreyer,Oil on canvas,Man with Lance Riding through the Snow,,https://www.artic.edu/artworks/895/man-with-lance-riding-through-the-snow
ger_26,Franz Marc,Oil on canvas,The Bewitched Mill,"Among the German Expressionists, artists who used strong color and exaggerated form to express emotional content, Franz Marc was unique in his empathic interest in the life of animals. “Is there a more mysterious idea,” he asked, “than to imagine how nature is reflected in the eyes of animals?” Beginning in 1905, he devoted himself to representing the world with a fresh and purifying vision. Marc painted The Bewitched Mill following a sojourn to the Italian town of Merano in the southern Tirol. The work’s title refers to the “magical” harmony he sensed there between human life, represented by the houses and mill on the left, and nature, embodied by the lyrical region of trees and animals on the right.",https://www.artic.edu/artworks/9021/the-bewitched-mill
ger_27,Paul Klee,Oil on cloth,Dancing Girl,"Directly affected by the Nazis’ ascent to power, Paul Klee was dismissed in 1933 from his teaching post at Dusseldorf Academy, where he had spent two years after leaving the Bauhaus. Exiled to Switzerland, Klee suffered physically and psychologically, and his artistic output diminished significantly. Between 1937 and 1940, however, Klee regained artistic momentum and produced several hundred paintings and over 1,500 drawings. In these later works, Klee continued to experiment with unusual media and techniques to produce multidimensional effects. Dancing Girl also reveals Klee’s limitless humor—his signature at the lower right was made by a monogrammed handkerchief, which he laid over the surface to begin his painting.",https://www.artic.edu/artworks/10018/dancing-girl
ger_28,Vasily Kandinsky,Oil on canvas,Painting with Green Center,,https://www.artic.edu/artworks/8987/painting-with-green-center
ger_29,Vasily Kandinsky,Oil on cardboard; in artist's painted frame,Painting with Troika,"Vasily Kandinsky, along with Franz Marc, Gabriele Münter, and Alexei Jawlensky, was a founding member of Blaue Reiter (Blue Rider), a loose alliance of artists based in Munich. Often working in a common palette using expressive brushwork, they shared a belief in the symbolic and spiritual importance of forms and colors, including their effect on emotions and memories. Blaue Reiter also promoted a spontaneous, intuitive approach to painting, looking to non-Western, European medieval, and folk art for inspiration. Here the troika, a traditional carriage drawn by three horses, and the hand-painted frame, which Kandinsky made especially for this work, speak to the powerful influence these sources had on the artist.",https://www.artic.edu/artworks/8983/painting-with-troika
ger_30,Wolf Traut (Unknown Role),Woodcut in black on ivory laid paper,"Elector Frederick III of Saxony, from Speculum intellectuale felicitatis humane",,https://www.artic.edu/artworks/3070/elector-frederick-iii-of-saxony-from-speculum-intellectuale-felicitatis-humane
ger_31,Max Beckmann,Oil on canvas,Reclining Nude,"Reclining Nude depicts Mathilde Q. Beckmann (known as Quappi), the artist’s second wife and a talented singer and violinist. During his early career spent in Germany, Max Beckmann criticized the French avant-garde; by the mid-1920s, however, he began to identify with artists working in Paris, and by 1929 he was living, painting, and spending the majority of his time in the city. This painting of Quappi, nude and in a traditional artistic posture of repose, evokes similar compositions by Beckmann’s contemporaries Henri Matisse and Pablo Picasso.",https://www.artic.edu/artworks/71978/reclining-nude
ger_32,Albrecht Dürer,Engraving in black on ivory laid paper,Adam and Eve,"Albrecht Dürer’s engraving Adam and Eve exhibits the extraordinary detail and tonal range of which he was capable. The print’s meticulously described landscape and its symbolism are derived from late medieval art, while Dürer’s fascination with the canons of classical proportion and anatomy (Adam is posed like the Apollo Belvedere, while Eve recalls classical statues of Venus) comes from his study of Italian Renaissance art.",https://www.artic.edu/artworks/51498/adam-and-eve
ger_33,Christoph-Wilhelm Bock,"Engraving on buff wove paper, matted together with photograph of ticket for physionotrace sitting",A Physionotrace Portraitist,,https://www.artic.edu/artworks/2363/a-physionotrace-portraitist
ger_34,Karl Koepping (Engraver),Etching on paper,Portrait of a Woman,,https://www.artic.edu/artworks/776/portrait-of-a-woman
ger_35,Hans Sebald Beham,Engraving in black on ivory laid paper,Eight Boys,,https://www.artic.edu/artworks/79008/eight-boys
ger_36,"Israhel van Meckenem, the younger",Engraving in black on ivory laid paper,Saint Christopher,"The powerful giant Saint Christopher was said to have carried the infant Christ across a raging river without knowing who he was. The further the saint waded, the heavier his burden became, until, safe on the opposite bank, he realized that he had been carrying the weight of the world on his shoulders, as well as its creator. Israhel van Meckenem made several prints of this subject showing the saint in varying degrees of strain, struggling under the weight and in the swift torrent. This print is unusual in that it shows the saint’s feet through the transparent water; the shallow depth confirms that Christopher has just reached the opposite bank.",https://www.artic.edu/artworks/3776/saint-christopher
ger_37,Paul Klee,"Oil on canvas, on board",In the Magic Mirror,"In the Magic Mirror reflects the disillusionment that colored much of Paul Klee’s work following the Nazi takeover of Germany in 1933 and the artist’s subsequent move to his native Switzerland.Illustrating what Klee called his method of “taking a line for a walk,” a meandering red line twists and turns down the center of the canvas, delineating the features of a face. The tight curves on the brow suggest the figure is concentrating, while the tension between the nose and mouth, which pull in opposite directions, conveys anxiety. In contrast to the cheerful pink cheeks, the figure’s tear-shaped eyes communicate distress. The thinly painted, ghostly outline of the head and shoulders is in contrast to the crisp rendering of the face. Klee paints the heart, the true creative center, black, thereby suggesting the pall that settled over this figure, and by extension, the artist at this time.",https://www.artic.edu/artworks/111666/in-the-magic-mirror
ger_38,Vasily Kandinsky,Oil on cardboard,Houses at Murnau,,https://www.artic.edu/artworks/129849/houses-at-murnau
ger_39,"Lucas Cranach, the Elder",Oil on panel,Eve,"For most of his long career, Lucas Cranach the Elder was court painter to the Elector of Saxony. Although the general placement of Adam and Eve in these paintings reflects the influence of Albrecht Dürer’s renowned classicizing treatment of the same subject in paintings and prints, Cranach’s slender, undulating figures conform to the contemporary courtly ideals of beauty. This pair is one of the finest of the many versions of the subject made by Cranach and his workshop.",https://www.artic.edu/artworks/21668/eve
ger_40,Weddeghe Velstede,"Silver gilt, rock crystal, textile, and human remains",Reliquary Monstrance with a Tooth of Saint John the Baptist,"This reliquary uses the form of a miniature Gothic tower. It makes an elaborate architectural frame for a transparent rock-crystal vessel holding a relic that is identified as a tooth of Saint John the Baptist by an inscription along the base of the reliquary. Rock crystal was highly prized in the medieval Islamic world. Considered a precious stone, it was used to create a number of luxurious secular objects, including this vessel, which was probably originally intended to be a container for fragrant oils.",https://www.artic.edu/artworks/88419/reliquary-monstrance-with-a-tooth-of-saint-john-the-baptist
ger_41,"Lucas Cranach, the Elder",Oil on panel,The Crucifixion,"In this crowded scene, traditional vignettes from the Crucifixion story surround the central figure of Jesus Christ on the cross. Jesus’s mother, the Virgin Mary, swoons amid a group of believers in the lower left corner. On the other side of the cross are Christ’s condemners and the cynics who rejected him, among them the soldiers who cast dice to divide up his clothing. Cranach was a good friend of the Protestant reformer Martin Luther, and though the Crucifixion was a subject more strongly associated with Catholics, Cranach included details that reinforce the Protestant emphasis on the power of faith and individual responsibility—for instance, the figure of the young boy learning from an older man at the foot of the central cross.",https://www.artic.edu/artworks/59856/the-crucifixion
ger_42,Master of the Worcester Panel,Oil on panel,Christ Carrying the Cross,,https://www.artic.edu/artworks/59897/christ-carrying-the-cross
ger_43,"Lucas Cranach, the Elder",Engraving in black on ivory laid paper,The Penitence of Saint John Chrysostom,"Court painter to the Duke of Saxony at Wittenberg, Cranach became a prolific designer, apothecary, political and religious counselor, and propagandist for the court. This is Cranach’s most important engraving, in a rare, early impression. It depicts the legendary remorse of the great 4th-century Bishop of Constantinople, who succumbed to the attractions of the emperor’s daughter and then wandered the wilderness in penitence.",https://www.artic.edu/artworks/13612/the-penitence-of-saint-john-chrysostom
ger_44,Gerhard Richter,Oil on canvas,Ice (1),,https://www.artic.edu/artworks/146994/ice-1
ger_45,Alexei Jawlensky,Oil on composition board,Girl with the Green Face,,https://www.artic.edu/artworks/79588/girl-with-the-green-face
ger_46,George Grosz,Lithograph in black on ivory laid paper,The Pimps of Death,,https://www.artic.edu/artworks/3158/the-pimps-of-death
ger_47,Hans Springinklee,Woodcut in black on cream laid paper with xylographic text,The Emperor Maximilian Presented to Christ by His Patron Saints,"This memorial woodcut celebrates the Holy Roman Emperor Maximilian’s passage into eternal life. He appears kneeling in front of Christ, hoping his resplendent throng of Habsburg family saints will help him enter heaven. The Virgin and Child are present, as are Saints Andrew, Barbara, George, Leopold, Maximilian, and Sebastian, each bearing their attributes. The Latin text below the woodcut lists the emperor’s many titles and territories and his date of death, followed by laudatory verses. Despite its popular broadsheet format, this print was likely distributed to members of the imperial court and other nobles rather than being sold or posted.",https://www.artic.edu/artworks/2484/the-emperor-maximilian-presented-to-christ-by-his-patron-saints
ger_48,Gerhard Richter,Oil on canvas,Ice (2),,https://www.artic.edu/artworks/146995/ice-2
ger_49,,Oil and tempera on panel,Triptych of the Virgin and Child with Saints,"In this triptych, Mary, crowned as the queen of heaven, is surrounded by female saints in an enclosed garden (called a hortus conclusus) evoking paradise. Singled out on the right wing is Saint Ursula, thought to have been a British princess who set out on a pilgrimage to Rome, only to be martyred along with her throng of companions, depicted here at a miniature scale. Saint Agnes, another martyr of the early Christian era, is on the left wing. The gold framing arches refer to the combination of gilded sculpture and painting that was a common feature of German altarpieces in this period. The emphasis on youthful, female saints suggests that this was a devotional triptych for a community of nuns.",https://www.artic.edu/artworks/16336/triptych-of-the-virgin-and-child-with-saints
ger_50,"Israhel van Meckenem, the younger",Engraving on cream laid paper,The Betrayal,,https://www.artic.edu/artworks/3728/the-betrayal
ger_51,Albrecht Dürer,Woodcut in black on ivory laid paper,"The Four Horsemen of the Apocalypse, from The Apocalypse",,https://www.artic.edu/artworks/55330/the-four-horsemen-of-the-apocalypse-from-the-apocalypse
ger_52,Emil Nolde,Oil on canvas,Red-Haired Girl,"When Emil Nolde painted Red-Haired Girl, a closely cropped figure depicted with palpable emotion and fiery color, he was already widely acknowledged as a leading Expressionist artist. One year later, he joined the National Socialist German Workers’ (Nazi) Party, which eventually denounced paintings in this style.Red-Haired Girl, along with hundreds of other works by Nolde, was confiscated by the Nazis in 1937 and displayed as an example of “degenerate art” in the infamous Entartete Kunst exhibition, which ridiculed modern art as morally corrupt and celebrated the party’s systemic attacks on artists. Despite the denunciation of his work, Nolde maintained his affiliation with the Nazis throughout the war. While Max Beckmann and Marc Chagall, whose works are on view on adjacent walls, were forced to defect from Europe and Otto Dix was arrested as an “unreliable intellectual” for his anti-fascist protests, Nolde remained aligned with the Nazis. He sought their approval and embraced their ideology while also arguing that paintings like this were “vigorous, durable, and ardent.”",https://www.artic.edu/artworks/118978/red-haired-girl
ger_53,Paul Klee,Oil on canvas,Fleeing Ghost,"Paul Klee’s artistic skills were diverse: he was a painter, printmaker, critic, and theoretician. He taught at the Bauhaus for most of the famed school’s existence; initially head of the bookbinding department, he also supervised the glass-painting workshop. His greatest influence, however, was as a lecturer for the basic design course on the theory of form in art. In lectures, Klee developed his ideas about the “polyphony” of painting, which was based on his interest in simultaneous sensational effects that could be created by various layered formal elements. He believed that this type of creative experimentation could “issue forth a transformed beholder of art” and thus pave the way for total abstraction.",https://www.artic.edu/artworks/111664/fleeing-ghost
ger_54,Gerhard Richter,Oil on canvas,Christa and Wolfi,,https://www.artic.edu/artworks/93344/christa-and-wolfi
ger_55,Albrecht Dürer,Woodcut in black on ivory laid paper,"The Lamentation, from The Large Passion",,https://www.artic.edu/artworks/19559/the-lamentation-from-the-large-passion
ger_56,Emil Nolde,Color lithograph on cream wove paper,Russian Peddler,,https://www.artic.edu/artworks/27922/russian-peddler
ger_57,Max Beckmann,Drypoint on ivory laid paper,Self-Portrait in Bowler Hat,,https://www.artic.edu/artworks/10210/self-portrait-in-bowler-hat
